,timestamp,buy_tools,purchased_before,amount_paid,good_value,pairs_bought,how_often_buy,interested,plan_purchase,tools_used,willing_to_pay_more,more_for_us,farm_type,miles_maintained,location_to_buy,percentage_wood,years_farming,current_occupation,zip_code,low_paid,high_paid,low_willingness,high_willingness
211,43:51.0,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,,"Hammer, Side cut, Wire stretcher, Pliers, Steel post pounder",$0-$9,$0-$4,,,Local ranch store,0.3,21+ years,"Rancher, Handyman",78155,$20 ,$29 ,$0 ,$9 
212,31:53.6,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,No,No,"Hammer, Wire snips/cutters, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,Small,1,"Local ranch store, Harbor Freight Tools",0.2,0-5 years,"Employee of a farm, ranch or orchard, Equipment operator",59759,$20 ,$29 ,$10 ,$19 
213,58:18.6,I always buy the tools,Yes,$30 - $39,No,3-Jan,Every 2 years,Yes,No,"Hammer, Hammer claw, Side cut, Pliers",$20-$29,$10-$14,"Commercial farm, Ranch, Dairy farm",4,"Local ranch store, Amazon",1,21+ years,"Own a farm, Manage a farm, Equipment operator, Livestock care, Rancher",48444,$30 ,$39 ,$20 ,$29 
214,54:36.5,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Wire stretcher, Pliers, Steel post pounder",$20-$29,$20+,Commercial farm,40,Local ranch store,0.8,16-20 years,Own a farm,68638,$20 ,$29 ,$20 ,$29 
215,55:35.1,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 5-7 years,Yes,No,"Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$5-$9,Ranch,10,Local ranch store,0.1,21+ years,"Own a farm, Equipment operator, Livestock care, Rancher",65275,$20 ,$29 ,$20 ,$29 
216,31:50.7,I always buy the tools,Yes,$30 - $39,Yes,3-Jan,Every 2 years,Yes,Yes,"Wire snips/cutters, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$30-$39,$5-$9,"Commercial farm, Ranch",,Local ranch store,0.6,6-10 years,"Own a farm, Equipment operator, Livestock care, Rancher",59442,$30 ,$39 ,$30 ,$39 
217,51:42.2,I always buy the tools,Yes,$40 - $49,Yes,3-Jan,Every 5-7 years,Yes,Yes,"Hammer, Wire snips/cutters, Side cut, Wire stretcher",$30-$39,$0-$4,Ranch,10,Other online store,0.7,11-15 years,"Livestock care, Rancher",68813,$40 ,$49 ,$30 ,$39 
219,41:54.4,I always buy the tools,Yes,$60 or more,Yes,More than 9,Every 2 years,Yes,Yes,"Hammer, Plammer, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$0-$9,$0-$4,Ranch,300,Local ranch store,0.1,21+ years,Rancher,88201,$60 ,,$0 ,$9 
220,57:21.2,I always buy the tools,Yes,$50 - $59,Yes,More than 9,Every 2 years,Yes,No,"Hammer, Plammer, Steel post pounder",$30-$39,$15-$19,Ranch,30,Local ranch store,0.2,21+ years,Rancher,58756,$50 ,$59 ,$30 ,$39 
221,20:43.4,I sometimes buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 5-7 years,Yes,No,"Hammer claw, Wire stretcher, Steel post pounder",$10-$19,$0-$4,Ranch,50,Local ranch store,0.8,21+ years,"Own a farm, Rancher",68726,$10 ,$19 ,$10 ,$19 
222,07:01.1,I always buy the tools,Yes,$20 - $29,No,3-Jan,Less often than every 7 years,Yes,No,Hammer,$10-$19,$10-$14,"Commercial farm, Ranch",3,Local ranch store,0.3,16-20 years,"Own a farm, Manage a farm, Equipment operator, Livestock care, Rancher",50251,$20 ,$29 ,$10 ,$19 
225,46:40.2,I sometimes buy the tools,Yes,$20 - $29,No,9-Jul,Every 2 years,Yes,Yes,"Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$20-$29,$10-$14,Commercial farm,50,"Local ranch store, Other online store",0.7,21+ years,Own a farm,57580,$20 ,$29 ,$20 ,$29 
227,41:25.7,I always buy the tools,Yes,$60 or more,Yes,6-Apr,Every 5-7 years,Yes,Yes,Wire stretcher,$20-$29,$10-$14,Ranch,5,Local ranch store,0.2,21+ years,"Own a farm, Rancher, Farm/ranch retail feed store",75783,$60 ,,$20 ,$29 
229,10:11.4,I sometimes buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 3-4 years,Yes,Yes,"Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$20+,Ranch,4,Local ranch store,0.1,16-20 years,"Equipment operator, Livestock care",75110,$20 ,$29 ,$20 ,$29 
230,40:24.3,I sometimes buy the tools,Yes,$10 - $19,Yes,3-Jan,Every 2 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Ranch,10,"Local ranch store, Amazon, ACE Hardware, Lowe's",0.9,0-5 years,Rancher,75852,$10 ,$19 ,$0 ,$9 
231,57:18.7,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,Hammer,$30-$39,$10-$14,Ranch,15,Local ranch store,0.3,21+ years,Own a farm,70422,$20 ,$29 ,$30 ,$39 
232,48:13.5,I always buy the tools,Yes,$40 - $49,No,6-Apr,Every 3-4 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$40+,$10-$14,Ranch,40,Local ranch store,0.1,21+ years,"Equipment operator, Livestock care, Rancher",73542,$40 ,$49 ,$40 ,
233,07:17.2,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every 3-4 years,Yes,Yes,"Hammer, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Ranch,20,Local ranch store,0.9,21+ years,"Livestock care, Rancher",68722,$20 ,$29 ,$0 ,$9 
234,26:23.2,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,No,No,"Hammer, Side cut, Wire stretcher",$20-$29,$5-$9,Ranch,28,ACE Hardware,0.5,6-10 years,"Manage a farm, Equipment operator",68787,$20 ,$29 ,$20 ,$29 
235,53:23.4,I sometimes buy the tools,Yes,$20 - $29,No,6-Apr,Every 2 years,No,No,"Hammer, Wire snips/cutters, Screwdriver",$20-$29,$5-$9,Personal Farm,5,"Local ranch store, The Home Depot",0.1,11-15 years,Livestock care,83401,$20 ,$29 ,$20 ,$29 
236,04:30.1,I always buy the tools,Yes,$10 - $19,No,9-Jul,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,Ranch,2,"Local ranch store, Amazon, Other online store, ACE Hardware, The Home Depot, Lowe's, Harbor Freight Tools",0.3,0-5 years,"Own a farm, Manage a farm, Livestock care, Rancher",77328,$10 ,$19 ,$10 ,$19 
237,01:43.5,I sometimes buy the tools,Yes,$10 - $19,Yes,3-Jan,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$10-$19,$0-$4,,1,Local ranch store,0.7,11-15 years,"Manage a farm, Employee of a farm, ranch or orchard, Equipment operator",24540,$10 ,$19 ,$10 ,$19 
238,31:01.1,I always buy the tools,Yes,$30 - $39,Yes,More than 9,Every year or more often,Yes,Yes,Plammer,$40+,$20+,Ranch,50,Local ranch store,0.6,21+ years,Rancher,59479,$30 ,$39 ,$40 ,
240,11:19.2,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$10-$19,$10-$14,Ranch,5,Local ranch store,0,16-20 years,Retired,72104,$10 ,$19 ,$10 ,$19 
241,17:34.4,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,No,No,"Hammer, Wire snips/cutters, Wire stretcher",$20-$29,$0-$4,Commercial farm,1.5,Local ranch store,0.2,21+ years,Own a farm,54956,$10 ,$19 ,$20 ,$29 
242,19:36.9,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 5-7 years,Yes,No,"Wire snips/cutters, Wire stretcher, Pliers",$0-$9,$0-$4,Ranch,,"ACE Hardware, The Home Depot",0.2,11-15 years,Rancher,48364,$20 ,$29 ,$0 ,$9 
244,35:32.3,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,Ranch,5,"Local ranch store, Amazon",0.4,6-10 years,Retired,53555,$20 ,$29 ,$20 ,$29 
245,01:45.1,I always buy the tools,Yes,$30 - $39,Yes,9-Jul,Every 3-4 years,Yes,Yes,"Hammer, Wire stretcher, Steel post pounder",$30-$39,$10-$14,Ranch,5,"Local ranch store, Amazon, ACE Hardware",0.5,21+ years,Own a farm,83316,$30 ,$39 ,$30 ,$39 
